session_id,user_id,session_start_timestamp,platform,session_duration_minutes
1,1,2026-04-26 00:00:00,ios,16
2,1,2025-10-05 06:00:00,web,22
3,1,2025-10-19 01:00:00,ios,18
4,1,2025-11-13 01:00:00,web,1
5,1,2026-02-27 01:00:00,smart_tv,1
6,1,2026-01-09 22:00:00,ios,3
7,1,2025-10-18 08:00:00,smart_tv,29
8,1,2026-01-13 14:00:00,ios,1
9,1,2026-03-24 12:00:00,web,9
10,1,2026-05-30 03:00:00,android,29
11,1,2026-06-22 00:00:00,smart_tv,8
12,1,2025-11-09 11:00:00,ios,1
13,1,2026-03-16 19:00:00,smart_tv,1
14,1,2026-02-22 05:00:00,smart_tv,40
15,1,2026-03-08 18:00:00,web,1
16,1,2026-04-17 11:00:00,web,32
17,1,2026-01-01 05:00:00,smart_tv,13
18,2,2025-12-31 23:00:00,android,7
19,2,2025-07-12 09:00:00,ios,8
20,2,2025-05-09 12:00:00,smart_tv,17
21,2,2025-05-31 05:00:00,ios,3
22,2,2025-11-16 07:00:00,android,10
23,2,2025-11-27 21:00:00,ios,15
24,2,2025-11-08 08:00:00,android,15
25,2,2026-06-04 16:00:00,ios,1
26,2,2025-05-01 21:00:00,ios,1
27,2,2025-04-20 15:00:00,ios,3
28,2,2025-08-24 20:00:00,android,1
29,2,2025-10-05 19:00:00,ios,3
30,2,2025-04-19 07:00:00,web,46
31,2,2025-12-25 19:00:00,ios,19
32,2,2026-02-17 22:00:00,smart_tv,2
33,2,2026-01-17 13:00:00,smart_tv,1
34,2,2026-05-01 11:00:00,android,2
35,2,2026-07-25 08:00:00,web,26
36,2,2025-11-20 14:00:00,smart_tv,59
37,2,2026-02-14 21:00:00,web,9
38,3,2026-07-14 18:00:00,web,3
39,3,2026-02-13 00:00:00,ios,8
40,3,2026-07-02 17:00:00,android,37
41,3,2026-05-16 09:00:00,web,26
42,3,2026-02-16 15:00:00,web,24
43,3,2026-01-24 10:00:00,web,25
44,3,2026-05-13 20:00:00,android,5
45,3,2026-06-07 08:00:00,smart_tv,39
46,3,2026-05-05 20:00:00,ios,2
47,3,2026-05-24 06:00:00,ios,17
48,3,2026-03-09 16:00:00,android,7
49,3,2026-04-25 01:00:00,android,8
50,3,2026-07-17 21:00:00,web,4
51,3,2026-06-04 21:00:00,ios,12
52,3,2026-03-04 23:00:00,smart_tv,13
53,3,2026-01-05 20:00:00,android,11
54,3,2026-09-03 09:00:00,ios,26
55,3,2026-05-04 13:00:00,android,3
56,3,2026-07-18 12:00:00,web,24
57,3,2026-01-10 18:00:00,ios,7
58,4,2026-02-27 10:00:00,android,17
59,4,2026-03-15 21:00:00,ios,1
60,4,2026-08-22 20:00:00,ios,5
61,4,2026-07-23 21:00:00,ios,19
62,4,2026-05-24 16:00:00,smart_tv,4
63,4,2026-04-24 05:00:00,ios,3
64,4,2026-09-03 05:00:00,smart_tv,2
65,4,2026-04-21 03:00:00,smart_tv,11
66,4,2026-07-21 04:00:00,smart_tv,36
67,4,2026-04-03 23:00:00,ios,7
68,4,2026-09-04 05:00:00,smart_tv,1
69,4,2026-05-12 20:00:00,android,6
70,4,2026-01-06 07:00:00,android,2
71,4,2026-05-22 07:00:00,smart_tv,13
72,4,2026-04-28 13:00:00,ios,20
73,4,2026-05-10 11:00:00,android,8
74,4,2026-04-04 18:00:00,android,12
75,4,2026-04-21 14:00:00,android,31
76,4,2026-01-21 15:00:00,ios,2
77,4,2025-12-19 20:00:00,android,13
78,5,2026-08-25 18:00:00,android,6
79,5,2025-12-06 15:00:00,ios,10
80,5,2026-02-07 16:00:00,smart_tv,13
81,5,2025-12-31 21:00:00,web,1
82,5,2026-05-14 16:00:00,android,4
83,5,2026-04-01 13:00:00,web,3
84,5,2025-11-27 04:00:00,web,20
85,5,2026-01-09 06:00:00,smart_tv,10
86,5,2026-04-24 13:00:00,ios,6
87,5,2026-08-18 14:00:00,smart_tv,14
88,5,2026-01-12 10:00:00,smart_tv,10
89,5,2026-01-31 02:00:00,ios,37
90,5,2026-07-07 10:00:00,web,12
91,5,2026-01-29 10:00:00,android,8
92,5,2025-11-29 00:00:00,smart_tv,6
93,5,2026-06-19 08:00:00,web,23
94,6,2025-11-21 05:00:00,ios,20
95,6,2026-05-28 05:00:00,smart_tv,1
96,6,2026-04-13 02:00:00,ios,7
97,6,2025-10-11 19:00:00,android,1
98,6,2026-03-16 20:00:00,ios,16
99,6,2026-03-13 12:00:00,ios,13
100,6,2026-03-13 15:00:00,web,6
101,6,2026-02-18 00:00:00,smart_tv,9
102,6,2025-08-25 17:00:00,web,20
103,6,2025-11-16 23:00:00,web,1
104,6,2026-02-13 00:00:00,ios,5
105,6,2026-01-17 16:00:00,ios,1
106,6,2025-11-11 00:00:00,smart_tv,3
107,6,2026-07-18 00:00:00,smart_tv,11
108,6,2026-06-22 23:00:00,ios,47
109,6,2025-12-11 07:00:00,ios,24
110,6,2026-07-27 11:00:00,android,34
111,6,2026-01-12 04:00:00,smart_tv,11
112,6,2025-09-27 12:00:00,ios,4
113,6,2026-04-20 18:00:00,ios,16
114,6,2026-01-09 05:00:00,android,3
115,6,2025-09-08 01:00:00,smart_tv,1
116,6,2026-01-05 09:00:00,ios,56
117,6,2026-03-27 23:00:00,web,6
118,7,2026-03-22 19:00:00,ios,2
119,7,2026-03-24 10:00:00,web,41
120,7,2026-02-06 21:00:00,web,19
121,7,2025-09-05 10:00:00,ios,29
122,7,2026-03-06 11:00:00,ios,12
123,7,2026-07-18 06:00:00,ios,41
124,7,2025-09-21 12:00:00,ios,1
125,7,2025-07-08 07:00:00,smart_tv,2
126,7,2025-10-21 23:00:00,ios,5
127,7,2025-09-04 06:00:00,web,14
128,7,2026-07-09 00:00:00,android,7
129,7,2026-04-26 16:00:00,web,12
130,7,2025-09-23 03:00:00,web,6
131,7,2026-01-02 22:00:00,web,28
132,7,2026-05-28 01:00:00,android,22
133,7,2026-01-07 20:00:00,web,17
134,7,2025-11-06 17:00:00,web,8
135,7,2026-05-14 01:00:00,ios,20
136,8,2026-04-14 01:00:00,web,3
137,8,2026-05-18 03:00:00,android,10
138,8,2026-05-14 00:00:00,smart_tv,5
139,8,2025-07-08 22:00:00,web,18
140,8,2025-08-12 13:00:00,ios,16
141,8,2026-01-27 12:00:00,web,5
142,8,2025-08-16 17:00:00,web,19
143,8,2025-10-21 15:00:00,smart_tv,3
144,8,2026-06-08 04:00:00,web,4
145,8,2025-09-27 22:00:00,android,25
146,8,2026-05-31 20:00:00,android,1
147,8,2025-06-18 09:00:00,ios,25
148,8,2026-01-15 21:00:00,android,12
149,8,2025-08-04 21:00:00,smart_tv,2
150,8,2026-03-07 08:00:00,ios,7
151,8,2026-04-28 19:00:00,ios,34
152,8,2026-06-07 04:00:00,ios,19
153,8,2026-01-14 03:00:00,ios,1
154,8,2026-03-02 23:00:00,ios,13
155,8,2026-04-26 03:00:00,smart_tv,5
156,8,2025-11-05 03:00:00,web,14
157,8,2026-07-20 03:00:00,web,4
158,8,2026-02-23 06:00:00,ios,11
159,8,2026-04-21 06:00:00,web,2
160,9,2026-08-30 08:00:00,smart_tv,3
161,9,2026-09-06 16:00:00,android,7
162,9,2026-06-17 11:00:00,android,16
163,9,2026-08-21 13:00:00,ios,20
164,9,2026-06-29 05:00:00,ios,12
165,9,2026-05-28 17:00:00,ios,1
166,9,2026-07-25 06:00:00,smart_tv,38
167,9,2026-08-19 15:00:00,web,5
168,9,2026-07-04 07:00:00,ios,20
169,9,2026-05-23 00:00:00,ios,29
170,9,2026-08-16 02:00:00,ios,6
171,9,2026-06-06 18:00:00,web,1
172,9,2026-08-16 15:00:00,ios,12
173,9,2026-06-11 02:00:00,ios,1
174,9,2026-08-30 16:00:00,web,1
175,9,2026-06-01 23:00:00,smart_tv,6
176,9,2026-08-23 03:00:00,ios,14
177,9,2026-06-24 20:00:00,ios,9
178,9,2026-06-21 14:00:00,android,8
179,9,2026-06-29 08:00:00,smart_tv,20
180,9,2026-07-21 01:00:00,smart_tv,27
181,9,2026-06-04 05:00:00,smart_tv,1
182,9,2026-05-28 09:00:00,ios,10
183,10,2025-10-19 21:00:00,ios,9
184,10,2025-09-25 13:00:00,web,1
185,10,2026-05-01 03:00:00,smart_tv,8
186,10,2025-06-05 01:00:00,web,1
187,10,2025-04-22 04:00:00,smart_tv,11
188,10,2026-03-23 20:00:00,android,27
189,10,2025-07-14 10:00:00,ios,1
190,10,2025-10-18 14:00:00,android,1
191,10,2026-08-20 19:00:00,web,29
192,10,2025-09-02 23:00:00,android,12
193,10,2025-06-04 11:00:00,ios,6
194,10,2026-06-09 10:00:00,smart_tv,1
195,10,2025-07-20 03:00:00,smart_tv,3
196,10,2025-11-09 12:00:00,web,21
197,10,2026-08-23 14:00:00,web,30
198,10,2025-09-04 12:00:00,ios,30
199,10,2026-04-06 15:00:00,web,5
200,10,2026-06-01 13:00:00,android,5
201,10,2026-03-16 05:00:00,web,17
202,10,2025-06-14 04:00:00,ios,9
203,10,2026-04-09 23:00:00,web,4
204,10,2025-05-18 05:00:00,smart_tv,5
