transaction_id,subscription_id,user_id,transaction_timestamp,amount,status,failure_reason
1,100,320,2026-02-13 00:00:00,199,failed,expired_card
2,158,1175,2026-09-06 00:00:00,99,success,
3,152,1655,2026-09-08 00:00:00,299,success,
4,216,23,2025-09-17 00:00:00,99,success,
5,135,1725,2026-03-27 00:00:00,999,success,
6,20,1087,2026-09-08 00:00:00,999,success,
7,249,1559,2026-09-08 00:00:00,199,success,
8,198,963,2026-02-15 00:00:00,99,success,
9,72,1102,2026-02-03 00:00:00,99,success,
10,158,1175,2026-07-04 00:00:00,99,success,
11,102,884,2026-02-28 00:00:00,99,success,
12,79,1672,2026-09-05 00:00:00,299,success,
13,186,1109,2026-09-06 00:00:00,199,success,
14,248,353,2026-01-26 00:00:00,99,success,
15,65,951,2025-10-18 00:00:00,199,failed,card_declined
16,174,837,2026-05-18 00:00:00,199,failed,card_declined
17,110,249,2026-02-02 00:00:00,999,success,
18,92,1253,2026-09-06 00:00:00,999,success,
19,9,1492,2025-10-30 00:00:00,299,failed,expired_card
20,227,47,2026-05-09 00:00:00,199,failed,expired_card
21,147,1736,2025-10-04 00:00:00,199,success,
22,145,397,2026-05-14 00:00:00,999,success,
23,149,1525,2026-04-11 00:00:00,199,success,
24,275,1754,2026-06-02 00:00:00,299,success,
25,101,1145,2025-11-11 00:00:00,199,success,
26,262,1568,2025-07-08 00:00:00,999,success,
27,261,735,2026-01-18 00:00:00,99,failed,expired_card
28,248,353,2026-02-06 00:00:00,99,success,
29,236,1760,2025-08-03 00:00:00,199,success,
30,275,1754,2026-01-03 00:00:00,299,success,
31,72,1102,2026-04-02 00:00:00,99,success,
32,243,1226,2025-09-23 00:00:00,99,success,
33,150,836,2026-02-13 00:00:00,199,success,
34,176,1,2026-01-26 00:00:00,199,success,
35,162,1364,2026-03-10 00:00:00,999,success,
36,235,219,2025-10-24 00:00:00,299,success,
37,223,1092,2026-09-08 00:00:00,299,success,
38,188,614,2026-09-06 00:00:00,99,success,
39,275,1754,2026-03-17 00:00:00,299,failed,insufficient_funds
40,152,1655,2026-09-05 00:00:00,299,success,
41,92,1253,2026-06-20 00:00:00,999,success,
42,34,981,2025-09-06 00:00:00,199,success,
43,151,247,2026-09-08 00:00:00,299,success,
44,29,1008,2025-12-18 00:00:00,299,success,
45,139,413,2026-07-29 00:00:00,299,success,
46,140,158,2026-03-10 00:00:00,999,success,
47,40,777,2025-12-12 00:00:00,999,success,
48,42,1352,2026-09-08 00:00:00,299,success,
49,27,782,2026-06-30 00:00:00,299,success,
